"Story","Title","Result","Date","Stability","Duration (s)"
"User","View number 1 user information","SUCCESS","2023-04-16T11:48:37.1592946+07:00[Asia/Bangkok]","0.0","1.18"
"User","View user with invalid API endpoint","SUCCESS","2023-04-16T11:48:38.3451792+07:00[Asia/Bangkok]","0.0","0.68"
