"Story","Title","Result","Date","Stability","Duration (s)"
"Cart","View cart that id number is 1","SUCCESS","2023-04-16T05:44:42.3019415+07:00[Asia/Bangkok]","0.0","3.79"
"Cart","View cart with invalid API endpoint","SUCCESS","2023-04-16T05:44:46.1104073+07:00[Asia/Bangkok]","0.0","0.68"
"Login","Successful login with valid credentials","SUCCESS","2023-04-16T05:44:46.8168664+07:00[Asia/Bangkok]","0.0","0.69"
"Login","Failed to login with invalid credentials","SUCCESS","2023-04-16T05:44:47.5155849+07:00[Asia/Bangkok]","0.0","1.07"
"Products","View product that id number is 1","SUCCESS","2023-04-16T05:44:48.6014177+07:00[Asia/Bangkok]","0.0","0.55"
"Products","View products with invalid API endpoint","SUCCESS","2023-04-16T05:44:49.1632746+07:00[Asia/Bangkok]","0.0","0.82"
"Cart","View number 1 user information","SUCCESS","2023-04-16T05:44:50.001781+07:00[Asia/Bangkok]","0.0","0.7"
"Cart","View user with invalid API endpoint","SUCCESS","2023-04-16T05:44:50.7163456+07:00[Asia/Bangkok]","0.0","0.94"
